stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"10920","Flagstaff Station","-37.81187992","144.95604277","","vic:rail:FGS","1","Level -2","1"
"10921","Flagstaff Station","-37.81172541","144.95596751","","vic:rail:FGS","1","Level -2","2"
"10922","Melbourne Central Station","-37.80997401","144.96254713","","vic:rail:MCE","1","Level -2","1"
"10923","Melbourne Central Station","-37.80986533","144.96251604","","vic:rail:MCE","1","Level -2","2"
"10924","Parliament Station","-37.81100921","144.97292350","","vic:rail:PAR","1","Level -2","1"
"11197","Alamein Station","-37.86820440","145.07972689","","vic:rail:ALM","1","Level 0","1"
"11198","Ashburton Station","-37.86193224","145.08139014","","vic:rail:ASH","1","Level 0","1"
"11199","Burwood Station","-37.85162801","145.08061168","","vic:rail:BWD","1","Level 0","2"
"11200","Burwood Station","-37.85174400","145.08054048","","vic:rail:BWD","1","Level 0","1"
"11201","Hartwell Station","-37.84384815","145.07548359","","vic:rail:HWL","1","Level 0","2"
"11202","Hartwell Station","-37.84388325","145.07542585","","vic:rail:HWL","1","Level 0","1"
"11203","Willison Station","-37.83567850","145.07023035","","vic:rail:WSN","1","Level 0","1"
"11204","Willison Station","-37.83568036","145.07034393","","vic:rail:WSN","1","Level 0","2"
"11205","Riversdale Station","-37.83129769","145.06961731","","vic:rail:RIV","1","Level 0","1"
"11206","Riversdale Station","-37.83116499","145.06976848","","vic:rail:RIV","1","Level 0","2"
"11207","Camberwell Station","-37.82668783","145.05836453","","vic:rail:CAM","1","Level -2","1"
"11208","Camberwell Station","-37.82659756","145.05835553","","vic:rail:CAM","1","Level -2","2"
"11209","Camberwell Station","-37.82651798","145.05844851","","vic:rail:CAM","1","Level -2","3"
"11210","Parliament Station","-37.81091306","144.97309652","","vic:rail:PAR","1","Level -2","2"
"11212","Flinders Street Station","-37.81851165","144.96483434","","vic:rail:FSS","1","Level 0","1"
"11213","Flinders Street Station","-37.81830668","144.96601006","","vic:rail:FSS","1","Level 0","2"
"11214","Flinders Street Station","-37.81822445","144.96646672","","vic:rail:FSS","1","Level 0","3"
"11215","Flinders Street Station","-37.81828907","144.96655582","","vic:rail:FSS","1","Level 0","4"
"11216","Flinders Street Station","-37.81832588","144.96660025","","vic:rail:FSS","1","Level 0","5"
"11217","Flinders Street Station","-37.81837661","144.96692830","","vic:rail:FSS","1","Level 0","6"
"11218","Flinders Street Station","-37.81849057","144.96674342","","vic:rail:FSS","1","Level 0","7"
